year,company,loc,lon,lat,technology,mult,n,dist,exp,expuni,expassoc,expprof,nexpuni,nexpassoc,nexpprof,univ_eigen,univ_ndegree,univ_degree,univ_close,univ_harm,univ_between,assoc_eigen,assoc_ndegree,assoc_degree,assoc_close,assoc_harm,assoc_between,prof_eigen,prof_ndegree,prof_degree,prof_close,prof_harm,prof_between,tech_eigen,tech_ndegree,tech_degree,tech_close,tech_harm,tech_between,country,tipo,code,empire,commonw,v2x_corr,v2xcl_prpty,statecap_baseline,statecap_base_fiscal,statecap_base_fiscal_edu,c_base,c_fiscal,c_comp,v2svstterr,v2stfisccap,v2x_rule
1915,Bucks Reef Gold Vimlnes Limited,rhodesia,-97.2134822,32.8294337,cyanid,1,1,0,1,1,0,0,0,0,0,0.11743236916464053,0.016129032258064516,1,0.3,0.29811827956989256,0,0,0,0,0,0,0,0.029998300062759328,0.01020408163265306,1,0.2774566473988439,0.29812925170068033,0,0.1714061058332432,0.036931818181818184,13,0.339323467230444,0.358793290043289,3.241034108034805e-4,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1916,Bucks Reef Gold Vimlnes Limited,rhodesia,-97.2134822,32.8294337,cyanid,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17549785148991326,0.030211480362537766,10,0.3350895679662803,0.370443101711983,0.001586045392875932,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1917,Buena Tierra Mining Company,ontario,-85.323214,51.253775,cyanid,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.321049326162543e-6,0.002976190476190476,1,0.1980136561142148,0.19750566893424057,0,canada,extraction,CAN,0,1,0.067,0.61,2,2,1,2,2,1,98,0,1
1915,Buffalo Mines Limited,ontario,-85.323214,51.253775,cyanid,1,4,0,1,0,0,0,1,1,1,0.17900057808161815,0.016129032258064516,1,0.3375,0.331989247311828,0,0.10179419142368233,0.012195121951219513,1,0.36936936936936937,0.41463414634146345,0,0.14432903709567643,0.02040816326530612,2,0.375,0.41190476190476194,6.038408951677859e-4,3.6575692908700755e-5,0.002840909090909091,1,0.20696324951644102,0.2025692189754702,0,canada,extraction,CAN,0,1,0.067,0.61,2,2,1,2,2,1,98,0,1
1916,Buffalo Mines Limited,ontario,-85.323214,51.253775,cyanid,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.275193236930655e-5,0.0030211480362537764,1,0.21087533156498675,0.21285426557329992,0,canada,extraction,CAN,0,1,0.067,0.61,2,2,1,2,2,1,98,0,1
1920,Buffalo Mines Limited,ontario,-85.32321,51.25377,cyanid,1,5,0,0,0,0,0,1,0,0,0.18350210651708018,0.018518518518518517,1,0.33540372670807456,0.38765432098765434,0,0,0,0,0,0,0,0.07693185786184954,0.01282051282051282,1,0.3107569721115538,0.3506410256410256,0,0,0,0,0,0,0,canada,extraction,CAN,0,1,0.067,0.631,2,1,1,2,2,1,98,0,1
1895,Buffelsdoorn Estate And Gold Mining,western,-95.71276,37.09375,cyanid,1,4,0.3897089972915591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.147,0.478,1,1,NA,1,1,NA,95,1,1
1895,Buffelsdoorn Gold Mining Limited,western,-95.71276,37.09375,cyanid,1,4,0.3897089972915591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.147,0.478,1,1,NA,1,1,NA,95,1,1
1913,Bullrush Gold Estates,western,-95.7127622,37.0937489,cyanid,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2063904341530794e-5,0.006289308176100629,2,0.1616331096196868,0.16296269244382475,0.005713945598476281,united states of america,extraction,USA,0,0,0.083,0.581,1,2,1,1,2,1,98,3,1
1913,Bundum Nigeria Tin Areas Limited,rhodesia,-97.2134822,32.8294337,cyanid,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027171393470574153,0.0031446540880503146,1,0.20041608876560332,0.2062840025104183,0,united states of america,extraction,USA,0,0,0.083,0.581,1,2,1,1,2,1,98,3,1
1915,Bundum Nigeria Tin Areas Limited,western,-95.7127622,37.0937489,cyanid,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1909,Burbank Birthday Gold Mines Limited,western,-95.71276,37.09375,cyanid,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056179775280898875,1,1,0.0056179775280898875,0,united states of america,extraction,USA,0,0,0.117,0.581,1,1,1,1,1,1,98,1,1
1910,Burbank Birthday Gold Mines Limited,western,-95.71276,37.09375,cyanid,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
1911,Burbank Birthday Gold Mines Limited,western,-95.7127622,37.0937489,cyanid,1,3,2.3055664769700538e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
1912,Burbank Birthday Gold Mines Limited,western,-95.7127622,37.0937489,cyanid,1,4,0,3,0,1,0,1,1,1,0.028769463026850867,0.014492753623188406,1,0.23183391003460208,0.2530365769496204,0,0.21482920177269338,0.03614457831325301,3,0.5,0.5130522088353414,0.00690006232154246,0.21599489441846764,0.03636363636363636,4,0.4302788844621514,0.4598484848484851,0.00595536805855187,0.005230498512561524,0.025559105431309903,8,0.24784110535405873,0.27805565928569204,0.030609760805026226,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
1916,Burbank Birthday Gold Mines Limited,western,-95.7127622,37.0937489,cyanid,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.883868289415664e-4,0.01812688821752266,6,0.25562700964630225,0.26937131348007554,0.017937963356534792,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1917,Burbank Birthday Gold Mines Limited,western,-95.7127622,37.0937489,cyanid,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.08660622639904678,0.021739130434782608,1,0.3333333333333333,0.3804347826086956,0,0.09335250799859143,0.01639344262295082,1,0.3177083333333333,0.35710382513661215,0,9.881094383855919e-5,0.005952380952380952,2,0.23284671532846715,0.23625283446712117,0.005650319829424307,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1908,Burbank Main Lode Limited,western,-95.71276,37.09375,cyanid,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.117,0.581,1,1,1,1,1,1,98,1,1
1911,Burbank Main Lode Limited,western,-95.7127622,37.0937489,cyanid,1,4,2.3055664769700538e-4,1,0,0,0,0,1,0,0,0,0,0,0,0,0.06885588159488938,0.011111111111111112,1,0.3435114503816794,0.3888888888888889,0,0.06282619088360412,0.008403361344537815,1,0.3216216216216216,0.36148459383753495,0,0,0.003816793893129771,1,1,0.003816793893129771,0,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
